     0,2013-04-22,7:00:00,dummy,1,   -10000.00,0,   893210.00,89.32100
     1,2013-04-22,7:00:01,dummy,1,   -10000.00,0,   893210.00,89.32100
     2,2013-04-22,7:00:02,dummy,1,    10000.00,0,  -893210.00,89.32100
     3,2013-04-22,7:00:03,dummy,1,   -10000.00,0,   893210.00,89.32100
     4,2013-04-22,7:00:04,dummy,1,    10000.00,0,  -893210.00,89.32100
     5,2013-04-22,7:00:05,dummy,1,   -10000.00,0,   893210.00,89.32100
     6,2013-04-22,7:00:06,dummy,1,    10000.00,0,  -893210.00,89.32100
     7,2013-04-22,7:00:07,dummy,1,    10000.00,0,  -893210.00,89.32100
     8,2013-04-22,7:00:08,dummy,1,   -10000.00,0,   893210.00,89.32100
     9,2013-04-22,7:00:09,dummy,1,    10000.00,0,  -893210.00,89.32100
