     0,2013-04-22,7:00:00,2,97.82500,97.82900,97.83300
     1,2013-04-22,7:00:01,2,97.82473,97.82973,97.83473
     2,2013-04-22,7:00:02,2,97.82389,97.82889,97.83389
     3,2013-04-22,7:00:03,2,97.82321,97.82900,97.83479
     4,2013-04-22,7:00:04,2,97.82429,97.82900,97.83371
     5,2013-04-22,7:00:05,2,97.82429,97.82900,97.83371
     6,2013-04-22,7:00:06,2,97.82445,97.82900,97.83355
     7,2013-04-22,7:00:07,2,97.82493,97.82993,97.83493
     8,2013-04-22,7:00:08,2,97.82411,97.82900,97.83389
     9,2013-04-22,7:00:09,2,97.82419,97.82900,97.83381
